cluster_id,attribute_id,min,max
0x0202,0x0000,0,6
0x0202,0x0001,0,5
0x0202,0x0002,0,100
0x0202,0x0003,0,100
0x0202,0x0004,1,100
0x0202,0x0005,0,100
0x0202,0x0006,0,100
0x004A,0x0000,0x01,0x04
0x0101,0,0,3
0x0101,1,0,11
0x0101,3,0,5
0x0101,27,0x00,0xFF
0x0101,34,0,2
0x0101,36,0,3
0x0101,37,0,4
0x0101,38,0x0000,0xFFFF
0x0101,39,0x0000,0xFFFF
0x0101,44,0x0,0x0F
0x0101,48,1,255
0x0101,49,1,255
0x0101,53,1,2880
